"01"	[9.51739905695707, 5.6533274605930615]
"02"	[11.329804213042678, 7.903148015685324]
"03"	[9.457096004060977, 4.801888513459922]
"04"	[7.654192199954241, 3.1247219937710113]
"05"	[9.352638769560135, 4.4186718927630775]
"06"	[13.744596613990558, 9.391036263363347]
"07"	[11.2960393149459, 6.353538767624703]
"08"	[9.840240453170786, 4.547990739144742]
"09"	[4.803557832522486, -0.7679300391873465]
"10"	[4.958688922485164, -0.7751133874301934]
"11"	[6.87981118528459, 1.0875992580752694]
"12"	[11.59471443774388, 5.971955011163742]
